#mpa_vJan21_CHOCOPhlAnSGB_202103
clade_name	A1E02M01.mp.profile	A1E02M02.mp.profile	A1E02M04.mp.profile	A1E02M05.mp.profile	A1E02M07.mp.profile	A1E02M08.mp.profile	A1E02P1.mp.profile	A1E02P2.mp.profile	A1E03M01.mp.profile	A1E03M02.mp.profile	A1E03M05.mp.profile	A1E03M06.mp.profile	A1E03P1.mp.profile	A1E03P2.mp.profile	A1E03P3.mp.profile	A1E03P4.mp.profile	A1E04M01.mp.profile	A1E04M02.mp.profile	A1E04M04.mp.profile	A1E04M05.mp.profile	A1E04M07.mp.profile	A1E04M08.mp.profile	A1E04P1.mp.profile	A1E04P2.mp.profile	A1E04P3.mp.profile	A1E04P4.mp.profile	A1E09F1.mp.profile	A1E09F2.mp.profile	A1E09M01.mp.profile	A1E09M02.mp.profile	A1E09M06.mp.profile	A1E09M07.mp.profile	A1E09M1.mp.profile	A1E09M2.mp.profile	A1E10F.mp.profile	A1E10M01.mp.profile	A1E10M02.mp.profile	A1E10M04.mp.profile	A1E10M05.mp.profile	A1E10M.mp.profile	A1E12F.mp.profile	A1E12M01.mp.profile	A1E12M02.mp.profile	A1E12M05.mp.profile	A1E12M06.mp.profile	A1E12M.mp.profile	Wild116.mp.profile	X608.mp.profile
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	11.17499	4.80648	3.92282	14.2	5.16082	10.3727	6.24798	3.91885	9.33463	6.41488	3.04583	1.75936	6.04511	8.64341	6.05584	4.00953	4.70249	0.87296	0.38519	4.43342	5.4007	6.68043	4.63655	1.32473	2.30912	4.36233	1.53503	2.29135	6.01293	4.29072	1.39541	1.39606	7.1108	2.23761	0.90763	1.764	1.25025	3.58554	1.30108	1.17684	1.10243	2.05027	5.30428	6.6535	2.23186	4.99723	5.60084	2.28581
k__Bacteria|p__Firmicutes|c__Bacilli	2.66012	1.56911	2.42077	2.28635	9.24737	2.96549	1.46567	1.94588	3.31937	5.52416	1.46791	0.73575	4.1088	14.12426	2.86128	6.79325	4.65228	0.65016	0.48546	1.51042	3.53226	0.96744	1.22686	0.88858	0.39142	1.02397	5.2177	3.36986	3.39683	4.44914	6.05458	14.36139	9.62829	3.53129	0.96449	8.88789	1.73306	13.19181	12.38048	0.94306	17.70208	2.03315	2.84864	14.14903	24.70456	6.81395	17.71371	6.69977
k__Bacteria|p__Proteobacteria|c__CFGB9318	2.58356	2.6668	3.37399	0.73581	10.87277	1.85621	3.46924	4.62906	2.53098	2.89914	0.02344	0.0	0.0	0.0	0.0	0.0	0.01403	10.5655	3.18155	7.4304	2.19874	2.58915	2.22486	3.35346	1.52158	4.78175	0.0	0.0	8.42409	1.39821	4.70901	6.70597	0.0	0.0	7.30711	5.5141	8.3698	3.95947	6.75991	1.36373	4.28637	0.06597	3.23472	5.22772	0.01846	3.39198	0.0	5.62603
k__Bacteria|p__Bacteroidetes|c__CFGB636	1.07835	1.5455	2.07854	1.24064	1.4754	2.04133	5.98964	3.39168	2.51056	2.1119	1.7726	0.45978	0.0	0.0	0.0	0.0	0.34569	0.92898	0.88467	0.79451	1.97449	2.09208	2.95289	2.16832	2.44121	4.14353	0.0	0.0	0.76828	1.69381	2.83903	1.85376	0.0	0.0	5.50873	0.99273	1.3142	2.07119	1.96394	4.89124	2.69097	1.27583	1.25533	2.27457	1.17588	3.13358	0.0	2.58102
k__Bacteria|p__Deferribacteres|c__Deferribacteres	0.99389	0.15094	0.30421	0.70797	0.17174	0.5098	0.0	0.0	0.58474	0.36896	0.47126	0.1345	0.32798	1.09189	0.20223	0.22391	0.12741	0.0	0.0	0.0	0.06757	0.03154	0.26994	0.15948	0.16194	0.07347	0.03786	0.17463	0.89453	0.0646	0.05722	0.0123	0.05196	0.2026	0.0	0.0	0.0	0.1854	0.0	0.0	0.07268	0.32356	0.28567	0.02878	0.109	0.23169	0.35576	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.76767	1.1265	1.21427	1.64348	11.78829	2.0731	1.57288	1.06502	2.10433	1.615	1.11197	4.90355	1.08323	1.04465	1.03981	1.29833	2.30888	1.77026	3.09087	1.1747	3.13423	1.62583	1.63022	2.39512	1.48817	0.82528	0.23035	1.2313	9.28374	8.98928	2.42427	4.02387	1.40694	0.35272	2.45073	9.42331	4.15032	6.06016	6.40135	1.97139	2.40895	2.0178	2.14593	2.70246	2.3666	1.08445	3.2257	2.92138
k__Bacteria|p__Bacteroidetes|c__CFGB9388	0.64931	0.38537	0.41543	0.6414	1.0266	1.22402	0.61865	1.51618	1.37784	1.08323	1.40283	0.32661	0.0	0.0	0.0	0.0	0.56151	1.19735	0.73913	0.85916	1.26524	1.45462	0.26387	1.45979	1.18641	0.99068	0.0	0.0	1.35066	1.67871	0.94004	1.24725	0.0	0.0	1.01692	1.05841	1.16229	0.84707	1.10114	0.9619	1.68407	1.32751	1.73521	2.60116	1.41636	1.58614	0.0	2.3652
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644	0.62798	0.39553	0.21109	0.31419	0.0	0.18015	1.59272	2.21809	0.15968	0.72235	0.53078	0.54627	0.0	0.0	0.0	0.0	2.35389	1.82759	2.07624	3.40853	0.54163	0.20734	0.20238	1.08458	1.90671	0.41376	0.0	0.0	0.22393	0.26999	1.65366	0.57894	0.0	0.0	1.6845	1.74605	1.25053	2.13571	1.55936	0.15176	1.19225	0.16907	0.22949	0.11025	1.12566	0.88275	0.0	1.53188
k__Bacteria|p__Firmicutes|c__CFGB9516	0.56087	0.5284	0.06287	0.18728	0.04185	0.09803	0.01502	0.11081	0.0599	0.0	0.04944	0.11965	0.0	0.0	0.0	0.0	0.07731	0.12234	0.12094	0.0985	0.10675	0.11688	0.02245	0.17456	0.31145	0.09619	0.0	0.0	0.09317	0.02654	0.01967	0.01192	0.0	0.0	0.03753	0.02907	0.02483	0.03015	0.0	0.0	0.01701	0.33372	0.08305	0.01507	0.15958	0.0	0.0	0.00583
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.55245	0.70338	0.28262	0.60236	0.7176	0.40425	0.44419	0.55877	1.20529	0.7447	0.6321	1.4921	1.42051	0.36037	0.47652	0.88745	0.2171	0.8112	0.46899	0.27293	0.44119	0.25301	0.38068	0.92747	0.39564	0.40013	0.64112	0.45044	0.96813	0.32304	0.16955	0.3261	0.22882	0.69034	0.34619	0.1009	0.17326	0.33134	0.444	0.0	0.15626	0.39172	0.39568	0.45468	0.28564	0.10058	1.76554	0.22699
