#mpa_vJan21_CHOCOPhlAnSGB_202103
clade_name	A1E02M01.mp.profile	A1E02M02.mp.profile	A1E02M04.mp.profile	A1E02M05.mp.profile	A1E02M07.mp.profile	A1E02M08.mp.profile	A1E02P1.mp.profile	A1E02P2.mp.profile	A1E03M01.mp.profile	A1E03M02.mp.profile	A1E03M05.mp.profile	A1E03M06.mp.profile	A1E03P1.mp.profile	A1E03P2.mp.profile	A1E03P3.mp.profile	A1E03P4.mp.profile	A1E04M01.mp.profile	A1E04M02.mp.profile	A1E04M04.mp.profile	A1E04M05.mp.profile	A1E04M07.mp.profile	A1E04M08.mp.profile	A1E04P1.mp.profile	A1E04P2.mp.profile	A1E04P3.mp.profile	A1E04P4.mp.profile	A1E09F1.mp.profile	A1E09F2.mp.profile	A1E09M01.mp.profile	A1E09M02.mp.profile	A1E09M06.mp.profile	A1E09M07.mp.profile	A1E09M1.mp.profile	A1E09M2.mp.profile	A1E10F.mp.profile	A1E10M01.mp.profile	A1E10M02.mp.profile	A1E10M04.mp.profile	A1E10M05.mp.profile	A1E10M.mp.profile	A1E12F.mp.profile	A1E12M01.mp.profile	A1E12M02.mp.profile	A1E12M05.mp.profile	A1E12M06.mp.profile	A1E12M.mp.profile	Wild116.mp.profile	X608.mp.profile
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644|o__OFGB9644|f__FGB9644|g__GGB28948	0.62798	0.39553	0.21109	0.31419	0.0	0.18015	1.59272	2.21809	0.15968	0.72235	0.53078	0.54627	0.0	0.0	0.0	0.0	2.35389	1.82759	2.07624	3.40853	0.54163	0.20734	0.20238	1.08458	1.90671	0.41376	0.0	0.0	0.22393	0.26999	1.65366	0.57894	0.0	0.0	1.6845	1.74605	1.25053	2.13571	1.55936	0.15176	1.19225	0.16907	0.22949	0.11025	1.12566	0.88275	0.0	1.53188
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28766	0.6078	0.76281	0.28646	0.44649	0.81822	0.19494	0.80599	1.21256	0.18076	0.41256	0.38286	0.15822	0.0	0.0	0.0	0.0	0.39266	0.13933	0.5545	1.00965	0.40173	0.42306	0.07269	0.50813	1.15734	0.16051	0.0	0.0	0.29143	0.22931	1.61306	0.79762	0.0	0.0	0.861	1.38224	0.5321	1.03091	0.93335	0.0	1.67957	0.67473	0.40098	0.53298	0.19673	0.51079	0.0	4.0121
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB30093	0.59241	0.80878	0.09609	0.12768	0.00179	1.05934	0.0	0.0	0.05588	0.28451	0.36018	0.06655	0.76274	0.52773	0.48288	0.52691	0.60005	1.07528	0.49048	0.27797	0.14133	0.13324	0.3745	0.68338	0.5861	0.30546	0.5646	0.24531	0.35062	0.22449	0.06468	0.34588	0.20003	0.43058	0.0	0.41811	1.00993	0.49982	0.59696	0.0	0.54444	0.5378	0.47029	0.77729	0.11067	0.57723	0.35834	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia	0.58234	0.87534	0.68586	0.90607	7.97394	1.44339	1.03634	0.82783	1.22884	0.93008	0.6336	2.09563	0.99292	0.98765	0.95216	1.24069	1.49285	1.32133	2.59404	0.91208	2.05323	1.10824	0.76597	1.42232	0.97343	0.58374	0.20885	1.05655	7.99249	6.95502	1.57466	2.45443	1.217	0.31904	1.68381	6.56732	3.15264	3.93995	3.90833	1.47557	2.02024	1.22262	1.44053	1.85962	1.70535	0.78982	2.36316	1.91805
k__Bacteria|p__Firmicutes|c__CFGB9516|o__OFGB9516|f__FGB9516|g__GGB28433	0.55496	0.5284	0.06287	0.18728	0.04013	0.0757	0.00357	0.06515	0.02578	0.0	0.03775	0.03771	0.0	0.0	0.0	0.0	0.02493	0.04164	0.00086	0.06761	0.01256	0.06507	0.0	0.1294	0.16386	0.05753	0.0	0.0	0.04856	0.0	0.01094	0.00925	0.0	0.0	0.01821	0.02543	0.01059	0.01283	0.0	0.0	0.00805	0.23992	0.03648	0.01059	0.11738	0.0	0.0	0.00583
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827|f__FGB9827|g__GGB29531	0.55154	0.57527	0.19519	0.56248	0.00995	0.2744	0.0	0.02343	0.48507	0.76525	0.53287	1.08399	0.40331	0.69464	0.33379	0.13418	0.0398	0.16053	0.19829	0.69019	0.37505	0.04068	0.00337	0.02478	0.01329	0.0	0.77024	0.0571	0.11298	0.07926	0.24773	0.06468	0.06237	0.61298	0.0	0.03129	0.05592	0.05485	0.00701	0.0	0.01379	0.0305	0.00755	0.04451	0.02299	0.19034	0.67629	0.17112
k__Bacteria|p__Firmicutes|c__CFGB9479|o__OFGB9479|f__FGB9479|g__GGB28330	0.54849	0.8265	0.34294	0.49989	0.42033	0.21981	0.95211	0.83432	0.60835	1.08006	1.05331	1.02274	0.82947	0.35062	0.50635	0.45435	1.62174	1.14516	3.37278	1.15372	0.60027	0.67033	0.20621	0.20904	0.42992	0.26943	1.12741	0.51033	1.23368	0.68014	0.59233	0.36466	0.28578	1.23802	0.60961	1.06866	0.84027	0.80155	0.95584	0.49969	1.13779	0.26837	0.53335	0.4705	0.60328	0.53813	0.96404	1.1714
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28849	0.52123	0.1952	0.03126	0.27739	0.0	0.03043	0.07986	0.02092	0.02658	0.03477	0.68497	0.45977	0.55552	0.93752	0.22675	0.21472	0.07259	0.05549	0.06452	0.10153	0.04045	0.01865	0.06137	0.01197	0.16228	0.0	0.21294	0.06661	0.06432	0.01752	4.10524	0.02705	0.06936	0.49257	0.0	0.22823	0.0	1.2022	0.11229	0.0	0.08206	0.04324	0.0	0.01942	0.51437	0.38142	0.09324	0.0184
k__Bacteria|p__Firmicutes|c__CFGB9650|o__OFGB9650|f__FGB9650|g__GGB28980	0.46836	0.33953	0.20201	0.30818	1.02235	0.28684	0.43229	1.28089	0.34205	0.41958	0.32836	0.36719	0.23487	0.22857	0.23652	0.22427	1.56702	0.57528	0.64696	0.6659	0.27401	0.12578	0.19011	0.82012	0.60074	0.17808	0.24665	0.12041	0.10119	0.03246	0.39495	0.66938	0.0646	0.35545	0.78271	2.72219	0.33768	3.48433	3.11704	0.36912	0.5953	0.38532	0.55801	0.20156	1.13757	0.45681	0.29648	0.62733
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Emergencia	0.43469	0.58149	0.28898	0.85291	0.35078	0.2431	0.38016	0.6881	0.40299	0.45991	0.35105	0.18618	0.0	0.0	0.0	0.0	1.01901	0.38858	0.19334	0.88713	0.5153	0.49973	0.51795	0.4153	0.52668	0.65292	0.0	0.0	1.16725	0.78973	0.39708	0.79732	0.0	0.0	0.73568	1.34629	1.33936	1.37179	1.12022	0.43298	0.52365	0.7494	0.55561	0.64221	1.06392	1.24567	0.0	1.2136
k__Bacteria|p__Firmicutes|c__CFGB8157|o__OFGB8157|f__FGB8157|g__GGB28904	0.43235	0.18136	0.21909	3.39797	2.36614	0.37751	1.9318	3.60294	2.16605	2.18509	3.23239	7.83307	3.77711	5.6921	2.013	3.42478	20.7088	3.80839	4.09699	2.05936	1.01802	0.17362	0.52476	0.79526	3.47021	2.10339	4.33121	2.63545	0.23364	0.41348	0.63516	4.94672	1.76323	3.942	0.50481	2.00709	1.92476	1.03618	1.25028	0.08473	1.74362	3.00078	0.3649	0.7233	6.11544	2.23328	7.26977	7.26693
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__GGB28317	0.38729	0.48182	0.13397	0.38226	0.30967	0.13179	0.44419	0.55877	0.93761	0.57254	0.34831	1.0449	0.61444	0.36037	0.47652	0.44943	0.07827	0.48805	0.16491	0.11957	0.24622	0.13886	0.11319	0.21931	0.20742	0.16851	0.30646	0.11966	0.61928	0.13516	0.07939	0.15229	0.10021	0.40301	0.34619	0.1009	0.17326	0.18308	0.30913	0.0	0.08017	0.0496	0.04622	0.10389	0.08806	0.04718	1.10917	0.22699
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified	0.37624	0.65882	0.42913	1.4167	0.51023	0.35423	1.31403	2.83881	0.88948	1.35867	1.31258	0.78294	2.91534	3.91575	1.62743	1.80657	5.0216	1.71159	1.92824	1.49643	0.60666	0.44989	0.33515	0.6009	1.16497	0.60822	2.67207	0.99977	0.36351	0.54937	0.87334	0.4663	0.50875	2.02055	1.23374	1.83845	1.31761	0.75042	1.73631	0.14418	1.74756	0.4278	0.4514	0.85171	1.09039	1.42472	3.28655	3.18316
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB24132	0.34621	0.3219	0.581	0.36365	0.44137	0.51708	1.18686	0.64444	0.96592	0.79322	0.72151	0.48861	0.0	0.0	0.0	0.0	0.0907	0.25493	0.20515	0.2827	0.64828	0.63062	0.10742	0.13085	0.14426	0.12137	0.0	0.0	0.02429	0.0887	0.32482	0.21728	0.0	0.0	1.97614	0.15819	0.40039	0.24305	0.14612	1.41391	0.04796	0.51489	0.42131	0.68869	0.33708	0.21403	0.0	0.7178
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28851	0.31529	0.25795	0.34675	0.46837	0.0	0.0039	0.05835	0.45496	0.06583	0.05888	0.06095	0.00777	0.0	0.0	0.0	0.0	0.65909	1.23878	0.80794	0.62312	0.58624	0.20505	0.00191	0.0359	0.0	0.0	0.0	0.0	0.03457	0.0	0.52821	0.00989	0.0	0.0	0.12911	1.85538	0.35987	0.22109	0.06289	0.0	0.02593	0.0	0.0	0.06034	0.09731	0.00606	0.0	0.59025
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB27893	0.31195	0.23923	0.23837	0.14779	0.02371	0.26567	0.69925	1.02444	0.21223	0.10309	0.38524	0.17845	0.0	0.0	0.0	0.0	0.00958	0.11581	0.04354	0.25279	0.08693	0.17408	0.20447	0.53719	0.56499	0.02965	0.0	0.0	0.02091	0.01363	0.17355	0.14581	0.0	0.0	1.246	0.05317	0.13288	0.03757	0.0	0.65382	0.30209	0.18995	0.06219	0.06935	0.33572	0.56034	0.0	0.39344
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Neglecta	0.30204	0.26953	0.22112	0.50459	0.94107	0.60509	0.01219	0.2195	0.06982	0.0	0.13175	0.12403	0.0	0.0	0.0	0.0	0.71298	0.48458	1.02976	0.15735	0.11331	0.08001	0.17844	0.31645	0.46595	0.22074	0.0	0.0	0.73521	0.18718	0.05163	0.1322	0.0	0.0	0.07972	0.35142	0.38842	0.842	0.39534	0.0	0.39059	0.63695	0.44749	0.15729	0.32572	0.08094	0.0	0.23311
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__GGB28250	0.29705	0.38228	0.43048	0.23012	0.14007	0.42881	0.0	0.0	0.50068	0.45794	0.37243	0.09529	0.78913	0.72868	1.32821	1.02817	0.0761	0.27592	0.0206	0.28322	0.22495	0.29004	0.33832	0.4336	0.35903	0.3343	1.79488	1.73969	0.29757	0.38079	0.43687	0.30206	0.89233	2.04208	0.0	0.11293	0.31567	0.24132	0.27113	0.0	0.13798	0.45715	0.19275	0.25494	0.35194	0.2632	1.54728	0.0
k__Bacteria|p__Firmicutes|c__CFGB9644|o__OFGB9644|f__FGB9644|g__GGB28945	0.29336	0.48937	0.19021	0.37894	0.06067	0.55162	0.35558	1.12399	0.09254	0.3772	0.90663	0.4957	0.79576	0.98982	0.55202	0.3058	2.05906	2.45485	1.68746	1.70552	0.83769	0.73289	0.25983	0.62756	2.25115	0.70226	0.78943	0.39808	0.62428	0.43285	1.26376	1.09792	0.29876	0.50875	0.93275	0.69018	1.31317	1.42201	0.58425	0.04982	2.41332	0.54977	0.42313	0.80936	1.51501	1.64268	0.64177	1.11467
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB28418	0.29315	0.27626	0.18434	0.19399	0.0033	0.00641	0.26127	0.08337	0.12966	0.08386	0.22435	0.0861	0.0	0.0	0.0	0.0	0.05615	0.06708	0.12619	0.24893	0.08238	0.15102	0.25083	0.14705	0.03606	0.17374	0.0	0.0	0.15771	0.24768	0.01412	0.02798	0.0	0.0	0.06543	0.0532	0.04177	0.04102	0.03495	0.0	0.0	0.24932	0.14215	0.09199	0.06071	0.0	0.0	0.01984
k__Bacteria|p__Firmicutes|c__CFGB9508|o__OFGB9508|f__FGB9508|g__GGB28382	0.29266	0.8036	1.06731	0.86474	0.21108	0.46392	0.0	0.0	0.08367	0.25864	0.0	0.14252	0.06559	0.40224	0.07612	0.29248	0.03373	0.74888	0.3248	0.52457	0.80461	0.82106	0.47412	0.38183	0.6465	0.46251	0.14931	0.17481	0.19511	0.0	0.0	0.14949	0.0015	0.19337	0.0	0.08159	0.10785	0.59806	0.12108	0.0	0.03695	1.79024	0.07199	0.16928	0.38671	0.06199	0.15173	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB30297	0.23571	0.23472	0.07877	0.2531	0.34668	0.43596	0.0	0.0	0.07079	0.00449	0.06943	0.10981	0.17367	0.44551	0.13059	0.05922	0.32123	0.47296	0.69669	0.21021	0.09878	0.06946	0.10726	0.26937	0.19503	0.1206	0.01193	0.0	1.28234	0.56454	0.06035	0.18254	0.0	0.0	0.0	0.28781	0.32244	0.59817	0.43245	0.0	0.31864	0.44195	0.69587	0.39506	0.29126	0.04972	0.03311	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB29683	0.23241	0.12943	0.0188	0.12177	0.00044	0.0	0.0	0.0	0.40383	0.69373	0.48715	0.11363	0.81609	2.68456	0.54541	2.07718	0.37597	0.07541	0.0	0.18339	0.14985	0.02796	0.42716	0.31938	0.70034	0.30747	1.48256	0.63471	0.09284	0.03299	0.53643	0.17909	0.73134	1.53211	0.0	0.0	0.0	0.0	0.0	0.0	0.25092	0.0	0.0	0.2828	0.07198	1.06374	0.3529	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28927	0.22061	0.09399	0.1137	0.86543	0.23535	0.17575	0.3262	0.81184	0.1607	0.5652	0.58047	0.3913	0.0	0.0	0.0	0.0	5.16974	0.56038	0.88662	0.9516	0.21898	0.0715	0.2556	0.24221	0.51211	0.33625	0.0	0.0	0.20082	0.41456	0.26939	0.2987	0.0	0.0	0.2866	0.35494	0.585	0.27052	0.41944	0.05599	0.84476	0.42919	0.16349	0.21248	1.72236	0.23754	0.0	0.63461
k__Bacteria|p__Firmicutes|c__CFGB9517|o__OFGB9517|f__FGB9517|g__GGB28437	0.21985	0.3529	0.26485	0.08757	0.33443	0.1533	0.04141	0.07206	0.28909	0.09865	0.59367	0.08649	0.0	0.02681	0.00232	0.00571	0.1055	0.02646	0.22166	0.07658	0.174	0.13284	0.03716	0.07414	0.07107	0.15403	0.0	0.0	0.25084	0.07441	0.124	0.0055	0.0	0.0	0.14888	0.03979	0.07163	0.13822	0.00854	0.0	0.04686	0.07058	0.03849	0.11595	0.10897	0.0	0.0	0.10743
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	0.21314	0.09477	0.02628	0.2274	0.0	0.05862	0.0	0.39136	0.03067	0.0827	0.004	0.00284	0.01245	10.31364	0.05631	0.01459	0.84014	0.2499	0.18954	0.02564	0.04459	0.02096	0.0	0.0	0.06271	0.0	0.0	0.0	0.00336	0.0	0.0	0.01296	0.00936	0.0	0.0	0.0	0.0	0.01726	0.01082	0.0	0.0	0.01221	0.06802	0.05049	0.00522	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB8123|o__OFGB8123|f__FGB8123|g__GGB28959	0.20289	0.29524	0.10714	0.23892	0.0	0.13145	0.42333	1.34354	0.1843	0.7126	0.2266	0.08942	0.0	0.0	0.0	0.0	0.25792	0.24459	0.22804	0.51934	0.19469	0.05387	0.02197	0.05422	0.1209	0.06565	0.0	0.0	0.00532	0.07456	0.30352	0.02032	0.0	0.0	0.4383	0.22962	0.16212	0.19677	0.34311	0.0	0.37526	0.00596	0.03022	0.06178	0.12266	0.46838	0.0	0.82199
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB27789	0.20191	0.08822	0.11666	0.19211	0.61832	0.18363	0.17845	0.45427	0.0	0.0	0.24299	0.0	0.0	0.0	0.0	0.0	0.01283	0.01497	0.05481	0.04822	0.18408	0.67716	0.37922	0.09983	0.02069	0.14722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19312	0.0	0.02062	0.03784	0.01551	0.0	0.00563	0.08319	0.1299	0.06987	0.02978	0.0	0.0	0.10716
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28621	0.19452	0.16967	0.13928	0.15647	0.0	0.0961	0.0423	0.14177	0.03148	0.49028	0.07083	0.03756	0.00855	0.15066	0.00145	0.00974	0.14922	0.07617	0.35458	0.14347	0.19091	0.05143	0.0	0.00779	0.00062	0.0	0.0	0.0	0.06153	0.01836	0.0	0.0	0.0	0.0	0.00289	0.18184	0.03057	0.08666	0.00961	0.0	0.0	0.0	0.0	0.00471	0.02168	0.0	0.03261	0.09192
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB30048	0.17382	0.22419	0.48635	0.70184	2.8602	0.56274	0.39827	0.18359	0.62354	0.404	0.34784	2.52033	0.0	0.0	0.0	0.0	0.67305	0.32667	0.26679	0.2179	0.83389	0.39534	0.64949	0.79224	0.46036	0.19191	0.0	0.0	0.28531	0.92671	0.61521	1.21447	0.0	0.0	0.51559	1.94875	0.63586	1.59399	1.85063	0.35603	0.2905	0.6673	0.54542	0.63036	0.50647	0.25228	0.0	0.55728
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__GGB30303	0.16782	0.39814	0.03322	0.04746	0.0	0.0921	0.07458	0.17765	0.00282	0.07086	0.06596	0.12147	0.0	0.0	0.0	0.0	0.21582	0.37191	0.53408	0.30913	0.06336	0.06484	0.0	0.01407	0.0613	0.00523	0.0	0.0	0.30907	0.0808	0.07079	0.03822	0.0	0.0	0.08236	0.06702	0.12416	0.10948	0.08373	0.0	0.07685	0.10508	0.11297	0.07953	0.05792	0.04868	0.0	0.24317
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrionaceae_unclassified	0.16517	0.22155	0.14865	0.2201	0.40793	0.27246	0.0	0.0	0.26768	0.17216	0.28379	0.4472	0.80607	0.0	0.0	0.43802	0.13883	0.32315	0.30407	0.15336	0.19497	0.11415	0.26749	0.70817	0.18822	0.23162	0.33466	0.33078	0.34884	0.18788	0.09016	0.17381	0.12861	0.28733	0.0	0.0	0.0	0.14826	0.13488	0.0	0.07609	0.34212	0.34946	0.35079	0.19759	0.05339	0.65637	0.0
k__Bacteria|p__Firmicutes|c__CFGB8123|o__OFGB8123|f__FGB8123|g__GGB28956	0.14068	0.12181	0.03334	0.11816	0.0	0.05959	0.14744	0.29135	0.16706	0.362	0.11433	0.09315	0.0	0.0	0.0	0.0	0.43045	0.55044	0.25874	0.26166	0.11881	0.0466	0.06117	0.10237	0.25269	0.05618	0.0	0.0	0.08591	0.07138	0.13656	0.15433	0.0	0.0	0.19246	0.53488	0.42378	0.42752	0.56058	0.0	0.15545	0.06193	0.04951	0.04896	0.18095	0.16604	0.0	0.07497
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB31171	0.11635	0.34863	0.0692	0.19939	0.24567	0.0	0.01201	0.00021	0.66327	0.42773	0.00237	0.00106	0.0	0.0	0.0	0.0	0.36803	0.03302	0.01004	0.20718	0.14835	0.3936	0.14561	0.11483	0.03517	0.08509	0.0	0.0	0.2158	0.45704	0.13938	0.12852	0.0	0.0	0.03989	0.97684	0.05075	0.14962	0.00203	0.0	0.01496	0.61444	0.3263	0.02663	0.04787	0.04076	0.0	0.41802
k__Bacteria|p__Firmicutes|c__CFGB28398|o__OFGB28398|f__FGB28398|g__GGB42343	0.11533	0.14862	0.08104	0.04923	0.0	0.08759	0.0	0.0	0.06949	0.00487	0.08901	0.07832	0.02557	0.12273	0.03338	0.04777	0.0	0.01389	0.0	0.04021	0.05989	0.03506	0.08416	0.04447	0.10052	0.02453	0.0	0.0	0.03117	0.0	0.0	0.00391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01327	0.06745	0.0067	0.00134	0.01402	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB27885	0.11266	0.15066	0.175	0.07034	0.0474	0.07104	0.0584	0.02044	0.05264	0.07271	0.07765	0.06168	0.0	0.0	0.0	0.0	0.02496	0.06638	0.03416	0.16377	0.15695	0.11912	0.05057	0.12378	0.07157	0.07859	0.0	0.0	0.04832	0.0495	0.08899	0.14842	0.0	0.0	0.17722	0.06793	0.06001	0.08328	0.05593	0.0	0.02768	0.14822	0.04704	0.03573	0.0237	0.04879	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9990|o__OFGB9990|f__FGB9990|g__GGB30408	0.09692	0.04995	0.03235	0.07228	0.0	0.0	0.09475	0.13872	0.00842	0.08082	0.2475	0.28209	0.00397	0.04151	0.00164	0.0431	0.13014	0.22624	0.33251	0.41449	0.0285	0.04022	0.02289	0.04821	0.08543	0.0	0.38683	0.06996	0.07483	0.02153	0.23164	0.03474	0.0	0.29757	0.1383	0.05012	0.09404	0.09184	0.0	0.0	0.00632	0.00401	0.00458	0.0	0.16536	0.0	0.07467	0.00829
k__Bacteria|p__Firmicutes|c__CFGB28398|o__OFGB28398|f__FGB28398|g__GGB42344	0.09659	0.29582	0.36291	0.10977	0.15427	0.09121	0.11206	0.04545	0.04424	0.0	0.20895	0.56558	0.0	0.0	0.0	0.0	0.00845	0.0888	0.00221	0.06412	0.09607	0.23177	0.16055	0.14092	0.17955	0.13381	0.0	0.0	0.05013	0.17437	0.02393	0.06923	0.0	0.0	0.06372	0.00268	0.01939	0.34141	0.0	0.0	0.01386	0.14374	0.1051	0.03071	0.07963	0.00077	0.0	0.00154
k__Bacteria|p__Firmicutes|c__CFGB9510|o__OFGB9510|f__FGB9510|g__GGB28386	0.08891	0.12051	0.0	0.01639	0.0	0.05057	0.0	0.0	0.05631	0.0	0.08477	0.00059	0.0	0.02244	0.01421	0.03962	0.0	0.00385	0.0	0.07753	0.06232	0.0	0.04324	0.00429	0.00692	0.01785	0.0	0.0	0.03112	0.03002	0.01223	0.05027	0.0	0.0	0.0	0.00124	0.03597	0.0	0.0	0.0	0.0	0.38463	0.09596	0.00283	0.07157	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9512|o__OFGB9512|f__FGB9512|g__GGB28394	0.07026	0.06935	0.04269	0.07825	0.05396	0.11487	0.05826	0.10723	0.05441	0.00953	0.04806	0.05285	0.0	0.0	0.0	0.0	0.01667	0.11401	0.05199	0.12211	0.04705	0.03057	0.1645	0.12298	0.28096	0.18357	0.0	0.0	0.03381	0.0173	0.01494	0.01348	0.0	0.0	0.05021	0.02307	0.03512	0.02343	0.0	0.0	0.06982	0.17175	0.06771	0.01681	0.01877	0.02295	0.0	0.05237
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28963	0.05515	0.01314	0.0	0.0441	0.0	0.0	0.17169	0.35283	0.04419	0.32229	0.04275	0.08689	0.0	0.0	0.0	0.0	0.45118	0.0876	0.08209	0.2189	0.04132	0.00477	0.0	0.00134	0.04	0.0	0.0	0.0	0.0368	0.0059	0.18378	0.02022	0.0	0.0	0.04052	0.14807	0.08604	0.13044	0.02759	0.0	0.66788	0.0	0.00109	0.00412	0.04419	0.0637	0.0	1.92248
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB30457	0.05223	0.08467	0.11324	0.06716	0.02175	0.0	0.0	0.02395	1.38518	0.76437	0.53142	1.00381	0.04932	0.14897	0.0195	0.10385	0.11482	0.10123	0.08281	0.0356	0.10782	0.09831	0.0249	0.0274	0.04355	0.0	0.04982	0.0	0.05965	0.10536	0.00392	0.0	0.0618	0.03115	0.0	0.00696	0.0	0.0	0.0	0.0	0.02776	0.00256	0.0	0.0162	0.00457	0.13087	0.26753	0.02526
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus	0.05128	0.01767	0.05836	0.07014	0.72844	0.08064	0.2131	0.06479	0.10996	0.05323	0.10544	0.0	0.08812	0.28202	0.11629	0.10432	0.1623	0.00717	0.0	0.03131	0.04414	0.01472	0.03505	0.0	0.0	0.07787	0.05357	0.47631	0.10449	0.10333	0.12859	0.05737	0.50781	0.42636	0.25621	0.39986	0.05713	0.25184	0.73331	0.06825	0.50095	0.01548	0.0	0.35008	0.25744	0.09383	0.55907	0.54468
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB28419	0.05106	0.0843	0.02464	0.02346	0.06888	0.0	0.0	0.0	0.14046	0.13465	0.11381	0.04997	0.00274	0.03897	0.02978	0.11031	0.06078	0.4392	0.08267	0.09326	0.21914	0.2023	0.15372	0.03559	0.17631	0.09689	0.00196	0.0	0.50622	0.28451	0.0083	0.3188	0.0	0.0	0.0	0.0	0.02053	0.01729	0.0	0.0	0.01778	1.10376	0.07682	0.01179	0.12889	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	0.04607	0.08431	0.06525	0.06719	0.01347	0.00463	0.18533	0.64438	0.04549	0.01821	0.07335	0.00128	0.89809	0.34902	0.2844	0.17195	0.40417	0.22803	0.58511	0.33271	0.2848	0.09816	0.05679	0.35158	0.8203	0.16351	0.56239	0.30491	0.10594	0.06278	0.01906	0.07068	0.17881	0.28469	0.12237	0.2252	0.17184	0.03452	0.02822	0.0	0.39215	0.04891	0.04434	0.10137	0.21982	0.4721	0.2717	0.05108
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	0.04068	0.04447	0.06212	0.09059	0.06256	0.01336	0.10708	0.40991	0.26131	0.35623	0.39614	1.52034	0.00114	0.0	0.0	0.0	0.92253	0.13317	1.46626	0.19339	0.06231	0.0268	0.07686	0.08374	0.09683	0.0	0.00934	0.0	0.28301	0.03288	0.09832	0.00904	0.0	0.0	0.05339	0.17327	0.03572	0.0554	0.0	0.0	0.14847	0.00109	0.01528	0.06226	0.11562	0.07994	0.00963	0.43903
