BinLab	Quality	Kingdom	Phylum	Class	Order	Family	Genus	Species
DonB_bin_117	MAG	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002491945
DonB_bin_118	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	
DonB_bin_119	MAG	d__Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus murinus
DonB_bin_12	Bin	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella muris
DonB_bin_120	Bin	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	
DonB_bin_121	Bin	NA	NA	NA	NA	NA	NA	NA
DonB_bin_122	Bin	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	
DonB_bin_123	Bin	NA	NA	NA	NA	NA	NA	NA
DonB_bin_124	Bin	NA	NA	NA	NA	NA	NA	NA
DonB_bin_125	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonB_bin_126	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UMGS1370	
DonB_bin_127	MAG	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	
DonB_bin_128	Bin	NA	NA	NA	NA	NA	NA	NA
DonB_bin_129	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-81	
DonB_bin_13	Bin	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	
DonB_bin_130	MAG	d__Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Bilophila	
DonB_bin_131	Bin	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	
DonB_bin_132	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA9502	UBA9502 sp003611875
DonB_bin_133	MAG	d__Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
DonB_bin_134	Bin	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	
DonB_bin_135	Bin	NA	NA	NA	NA	NA	NA	NA
DonB_bin_136	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella_A	
DonB_bin_137	Bin	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonB_bin_138	MAG	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	D16-63	
DonB_bin_139	Bin	NA	NA	NA	NA	NA	NA	NA
DonB_bin_14	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UMGS1370	
DonB_bin_140	Bin	NA	NA	NA	NA	NA	NA	NA
DonB_bin_141	Bin	NA	NA	NA	NA	NA	NA	NA
DonB_bin_142	Bin	NA	NA	NA	NA	NA	NA	NA
DonB_bin_15	Bin	NA	NA	NA	NA	NA	NA	NA
DonB_bin_16	Bin	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	
DonB_bin_17	Bin	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	
DonB_bin_18	Bin	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonB_bin_19	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	
DonB_bin_2	MAG	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
DonB_bin_20	Bin	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonB_bin_21	Bin	NA	NA	NA	NA	NA	NA	NA
DonB_bin_22	Bin	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	
DonB_bin_23	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-56	CAG-56 sp004793585
DonB_bin_24	Bin	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	
