Sample	Shannon
A1E02M01	3.62380966302092
A1E02M02	3.65428959177939
A1E02M04	3.27436912640339
A1E02M05	3.61702122455976
A1E02M07	3.42663671262701
A1E02M08	3.34178746926463
A1E02P1	3.16534460991558
A1E02P2	3.64583222256353
A1E03M01	3.57495239345424
A1E03M02	3.72620095283978
A1E03M05	3.73122026475939
A1E03M06	3.55441667329524
A1E03P1	3.16716344186674
A1E03P2	3.41317299166715
A1E03P3	2.75105006962562
A1E03P4	3.14428985996401
A1E04M01	3.63993820058825
A1E04M02	3.74629582564516
A1E04M04	3.74682238434336
A1E04M05	3.82569381082625
A1E04M07	3.67425595187831
A1E04M08	3.47733968807522
A1E04P1	3.02255084248616
A1E04P2	3.55404649767029
A1E04P3	3.69247335821434
A1E04P4	3.02571641755501
A1E09F1	3.42915533457662
A1E09F2	2.84769994588986
A1E09M01	3.45948367918503
A1E09M02	3.22999315278231
A1E09M06	3.64624803512251
A1E09M07	3.33327300109468
A1E09M1	2.54574732540495
A1E09M2	3.34978138662235
A1E10F	3.13336078194511
A1E10M01	3.8412067283777
A1E10M02	3.67373365832416
A1E10M04	3.79621204971111
A1E10M05	3.68519540042176
A1E12F	3.63803074404983
A1E12M01	3.41069855987996
A1E12M02	3.3617663746678
A1E12M05	3.36005158209255
A1E12M06	3.50188859510369
A1E12M	3.72889964165712
Wild116	3.49570607834468
X608	3.7074733782585
