DATASET_LABELS
SEPARATOR TAB
DATASET_NAME	Species Labels
DonB_bin_105	f_o_Christensenellales_bin105
DonB_bin_106	f_Ruminococcaceae_bin106
DonB_bin_107	f_o_UBA4068_bin107
DonB_bin_108	f_Lachnospiraceae_bin108
DonB_bin_109	NA_bin109
DonB_bin_11	f_Ruminococcaceae_bin11
DonB_bin_110	Alistipes sp002428825_bin110
DonB_bin_111	f_o_RF39_bin111
DonB_bin_112	g_Lawsonibacter_bin112
DonB_bin_113	Helicobacter_D ganmani_bin113
DonB_bin_114	g_Hungatella_A_bin114
DonB_bin_115	f_o_TANB77_bin115
DonB_bin_116	f_Anaerovoracaceae_bin116
DonB_bin_117	f_Muribaculaceae_bin117
DonB_bin_118	g_Dorea_bin118
DonB_bin_119	Ligilactobacillus murinus_bin119
DonB_bin_12	Duncaniella muris_bin12
DonB_bin_120	g_Lawsonibacter_bin120
DonB_bin_121	NA_bin121
DonB_bin_122	f_Muribaculaceae_bin122
DonB_bin_123	NA_bin123
DonB_bin_124	NA_bin124
DonB_bin_125	f_Lachnospiraceae_bin125
DonB_bin_126	f_Lachnospiraceae_bin126
DonB_bin_127	g_Odoribacter_bin127
DonB_bin_128	NA_bin128
DonB_bin_129	f_Lachnospiraceae_bin129
DonB_bin_13	g_Oscillibacter_bin13
DonB_bin_130	g_Bilophila_bin130
DonB_bin_131	f_Muribaculaceae_bin131
DonB_bin_132	f_Lachnospiraceae_bin132
DonB_bin_133	g_Streptococcus_bin133
DonB_bin_134	g_Lawsonibacter_bin134
DonB_bin_135	NA_bin135
DonB_bin_136	g_Hungatella_A_bin136
DonB_bin_137	f_Lachnospiraceae_bin137
DonB_bin_138	f_Eggerthellaceae_bin138
DonB_bin_139	NA_bin139
DonB_bin_14	f_Lachnospiraceae_bin14
DonB_bin_140	NA_bin140
DonB_bin_141	NA_bin141
DonB_bin_142	NA_bin142
DonB_bin_15	NA_bin15
DonB_bin_16	g_Acutalibacter_bin16
DonB_bin_17	g_Acetatifactor_bin17
DonB_bin_18	f_Lachnospiraceae_bin18
DonB_bin_19	f_Lachnospiraceae_bin19
DonB_bin_2	g_Alistipes_bin2
DonB_bin_20	f_Lachnospiraceae_bin20
DonB_bin_21	NA_bin21
DonB_bin_22	g_Acetatifactor_bin22
DonB_bin_23	f_Lachnospiraceae_bin23
DonB_bin_24	f_Muribaculaceae_bin24
DonB_bin_25	g_Dorea_bin25
DonB_bin_26	NA_bin26
DonB_bin_27	g_Lachnospira_bin27
DonB_bin_28	g_Oscillibacter_bin28
DonB_bin_29	f_Ruminococcaceae_bin29
DonB_bin_3	NA_bin3
DonB_bin_30	NA_bin30
DonB_bin_31	f_Eggerthellaceae_bin31
DonB_bin_32	NA_bin32
DonB_bin_33	Adlercreutzia caecimuris_bin33
DonB_bin_34	g_Acutalibacter_bin34
DonB_bin_35	f_Oscillospiraceae_bin35
DonB_bin_36	NA_bin36
DonB_bin_37	g_Schaedlerella_bin37
DonB_bin_38	g_Butyricicoccus_bin38
DonB_bin_39	f_Oscillospiraceae_bin39
DonB_bin_4	NA_bin4
DonB_bin_40	Dorea sp000403455_bin40
