FIELD_LABELS	A	AB	AB-2	AB-3	AB-4	AB-5	AB-6	AB-7	AB-8	AB-9	AB0	ABAB	ABAB-2	ABAB-3	ABAB-4	ABAB-5	ABAB-6	ABAB-7	ABAB-8	ABAB-9	ABAB0	B	BA	BA-2	BA-3	BA-4	BA-5	BA-6	BA-7	BA-8	PA	PA-2	PA-3	PAB	PAB-2	PAB-3	PAB-4	PAB-5	PAB-6	PB	PB-2	PB-3	PB-4	PB-5	PB-6	PB-7	PB-8
FIELD_TREE	((B:142.3955784,(PB-2:139.5193445,((PB-5:76.02154579,PB-8:76.02154579):50.6651109,((PB:83.57877033,PB-4:83.57877033):33.33712408,(PB-3:102.1277802,(PB-6:71.86144846,PB-7:71.86144846):30.26633171):14.78811424):9.770762289):12.83268783):2.876233903):160.108013,((PA-2:127.7617125,(A:118.1359852,(PA:97.87470741,PA-3:97.87470741):20.26127781):9.625727274):86.96870461,(((BA-7:127.2221097,BA-8:127.2221097):37.35176258,((BA:105.4371149,BA-2:105.4371149):44.59537833,(BA-3:115.5984187,BA-4:115.5984187):34.43407456):14.54137905):27.47329182,(((AB-5:159.628519,(AB-8:96.92471331,(AB-9:81.50281184,(AB-7:79.30488005,AB0:79.30488005):2.197931791):15.42190146):62.70380568):15.79913428,(((PAB-5:109.3299731,PAB-6:109.3299731):41.96741026,((PAB-2:82.0926705,PAB-3:82.0926705):53.38262317,(PAB:105.7644425,PAB-4:105.7644425):29.71085116):15.82208973):15.4192982,(((ABAB-7:111.6617077,ABAB-8:111.6617077):16.29105802,(ABAB-9:114.002161,(ABAB-5:87.35916237,ABAB-6:87.35916237):26.64299863):13.95060475):28.62179485,(AB-6:128.36994,(AB-4:107.5344726,(AB-3:102.300002,(AB:76.06679417,AB-2:76.06679417):26.23320781):5.234470609):20.83546744):28.20462057):10.14212099):8.710971663):10.05434819,((BA-5:99.4395892,BA-6:99.4395892):82.71825963,((ABAB-3:129.8309142,(ABAB-2:110.0470767,ABAB-4:110.0470767):19.78383741):28.43180625,(ABAB:145.1259023,ABAB0:145.1259023):13.13681808):23.89512842):3.324152614):6.565162668):22.68325299):87.77317435);
DATA
DonA_bin_5	46.07	10.85	12.96	5.66	21.01	8.4	3.43	12.06	18.74	9	13.59	34.05	28.77	35.11	25.36	13.31	14.79	6.73	4.91	15.29	29.8	0.26	12.38	15.03	12.7	6.58	3.42	6.05	9.88	5.17	25.86	34.97	9.49	3.7	2.56	4.44	2.78	14.62	6.11	0.23	0.35	0.12	0.17	0.27	0.12	0.08	0.28
DonA_bin_50	97.15	86.83	91.83	96.99	88.85	91.41	97.67	74.21	87.84	94.86	94.5	34.99	76.14	61.56	70.86	96.19	97.55	90.96	91.27	97.64	84.42	1.18	98.11	96.56	93.88	50.88	70.56	94.94	98.62	96.31	99.86	98.63	99.77	98.63	96.74	96.94	98.88	97.62	97.93	1.5	1.11	1.13	1.38	1.07	1.26	1.32	1.18
DonA_bin_52	88.01	97.96	98.3	94.18	98.18	99.7	99.58	87.83	96.64	94.46	96.54	79.83	97.45	66.64	90.5	96.03	96.34	99.1	98.48	94.89	87.64	1.9	93.41	92.41	94.99	59.67	99.92	99.87	94.73	95.47	82.52	93.84	90.46	92.91	98.72	97.62	94.91	88.39	95.71	1.41	1.06	1.19	1.13	1.27	1.58	1.36	1.56
DonA_bin_53	46.48	82.67	71.12	67.81	71.76	69.9	90.63	41.66	56.8	44.38	58.15	1.57	7.88	5.88	5.12	4.15	6.09	8.72	7.47	5.17	4.12	2.97	2.61	2.39	5.65	8.37	4.3	5.6	3.91	1.32	62.31	66.3	72.73	51.21	78.17	80.55	40.6	26.19	52.14	4.53	4.32	7.35	5.63	5.27	5.45	2.24	4.1
DonA_bin_55	93.51	99.76	99.01	99.12	99.77	98.5	99.72	96.33	98.62	97.16	97.27	77.84	97.34	82.75	97.58	99.14	99.43	98.45	98.42	97.85	87.16	1.05	99.42	99.27	97.82	83	98.26	99.91	99.91	99.86	99.78	99.72	99.07	84.03	98.31	97.46	45.94	87.24	87.08	1.12	0.84	0.37	0.56	0.59	0.51	0.54	0.45
DonA_bin_56	84.47	99.02	99.66	99.74	93.24	99.98	99.99	87.29	99.98	89.71	91.16	86.63	99.79	88.48	99.82	98.59	99.77	99.98	99.97	99.95	99.74	1.6	99.85	98.46	99.3	24.04	29.59	94.42	95.75	5.39	99.89	86.94	99.68	99.95	99.88	99.49	99.53	99.52	99.5	1.96	1.16	0.84	1	0.85	0.87	1.14	0.84
DonA_bin_58	84.34	99.74	96.9	96.4	99.89	98.08	99.74	80.79	75.11	93.97	72.5	45.76	18.21	9.38	44.92	51.23	53.82	37.5	95.98	56.39	37.15	50.23	60.23	53.92	39.74	30.83	54.67	50.31	28.19	28.53	97.95	94.91	67.12	94.81	44.66	83.45	46.19	63.05	92.4	52.15	56.43	49.57	44.54	26.23	35.41	52.06	33.05
DonA_bin_60	59.64	15.38	5.27	15.4	15.86	71.86	17.62	47.56	9.28	35.67	63.59	24.18	2.76	0.19	5.95	11.87	5.08	4.79	1.74	53.28	37.86	6.47	22.89	12.3	19.63	0.85	18.47	20.74	21.89	14.71	35.03	9.97	43.4	8.5	1.16	0.44	14.81	50.47	20.68	1.47	3.43	1.88	1.77	1.09	6.13	7.32	5.03
DonA_bin_61	55.85	9.04	11.47	7.58	7.3	1.9	4.58	9.52	5.51	5.66	10.17	32.54	41.56	7.21	23.38	9.29	14.97	7.86	8.89	11.49	20.35	1.22	11.01	32.45	16.85	16.91	3.39	5.68	20.81	10.89	30.26	69.55	24.69	2.05	3.71	14.04	2.71	26.78	13.81	0.95	0.94	0.44	0.52	2.17	0.53	0.4	1.47
DonA_bin_62	68.91	34.44	40.33	20.01	35.52	0.93	23.7	28.97	23.82	27.56	43.7	27.47	33.03	24.95	55.66	28.92	13.53	3.18	7.3	12.12	19.67	0.57	31.78	68.02	31.87	16.42	2.79	15.03	37.97	6.48	55.74	84.56	56.57	6.69	10.91	18.17	13.52	47.38	54.02	0.36	0.42	0.2	0.32	0.52	0.24	0.17	0.31
DonA_bin_63	59.16	32.21	19.37	17.39	65.55	29.8	26.59	36.8	51.2	31.91	45.22	88.12	50.23	50.08	65.58	28.87	15.64	47.58	26.3	30.66	78.69	1.54	24.74	55.98	54.24	39.98	27.5	47.74	36.73	38.39	45.74	69.73	41.03	31.61	32.72	49.87	38.31	66.38	35.86	1.28	1.39	0.82	1.09	1.37	0.79	0.72	1.26
DonA_bin_64	62.4	33.33	38.28	64.44	75.31	99.2	70.03	95.78	73.38	93.13	95.06	65.4	51.27	48.22	45.9	85.49	67.83	79.74	74.2	77.61	63.5	0.85	81.37	68.47	57.07	96.93	54.33	88.62	73.13	92.8	59.62	27.99	66.55	74.12	80.06	61.34	53.78	41.88	43.82	0.43	0.44	0.23	0.29	0.25	0.38	0.48	0.18
DonA_bin_65	56.69	29.59	37.1	20.3	46.84	66.49	49.48	86.87	83.95	76.72	75.36	58.84	21.15	15.73	40.08	37.67	29.53	55.26	61.57	55.62	62.76	0.26	31.83	41.64	34.89	19.26	94.76	88.98	49.27	62.9	35.1	58.34	44.31	38.06	57.44	48.48	35.22	53.34	47.49	0.28	0.27	0.19	0.19	0.18	0.14	0.12	0.16
DonA_bin_66	25.36	2.54	2.24	1.45	5.18	2.99	2.67	3.16	4.37	10.43	4.65	2.44	3.09	22.25	3.68	0.87	2.17	4.51	7.05	2.29	3.48	0.77	0.99	0.54	0.91	2.59	6.31	2.19	0.99	1.09	7.16	69.52	17.33	0.92	3.61	11.58	1.14	3.66	2.46	2.61	3	2.69	1.34	1.36	0.62	0.2	0.85
DonA_bin_68	84.56	19.86	23.08	8.88	15.97	1.58	11.85	18.3	26.25	25.18	31.62	38.44	32.34	11.5	29.98	19.88	12.09	6.65	7.43	11.74	28.84	28.35	23.51	37.37	16.48	18.16	2.91	6.92	23.25	19.23	72.38	73.65	59.92	9.82	29.83	47.16	22.04	54.73	64.65	34.04	38.16	22.16	11.03	35.9	23.83	18.15	29.22
DonA_bin_69	88.8	65.78	64.4	75.96	48.52	55.68	58.65	10.56	36	30.59	43.93	12.01	22.81	10.7	41.61	72.92	80.39	74.07	66.36	35.04	40.54	0.25	48.63	59.43	78.12	67.62	6.05	16.83	55.4	64.09	93.34	59.97	83.99	32.71	42.92	48.88	30.54	48	70.63	0.21	0.19	0.17	0.19	0.17	0.23	0.14	0.16
DonA_bin_70	93.26	11.97	5.27	2.82	10.96	1.56	2.65	21.89	14.31	20.97	9.49	42.07	16.61	11.83	30.3	9.95	4.24	1.65	2.45	3.95	9.74	1.58	10.08	43.1	9.01	14.85	6.12	3.15	26.6	5.23	29.4	42.55	9.35	1.24	3.6	9.21	1.36	64.6	13.79	1.63	0.87	0.91	1.09	3.76	1.36	0.48	1.83
DonA_bin_71	56.16	46.01	36.15	25.64	37.75	74.31	33.01	93.36	27.06	97.46	95.44	42.39	32.86	28.37	46.56	16.4	10.39	36.97	52.63	9.28	28.59	6.32	8.83	13.46	14.51	8.92	6.67	2.27	9.91	25.84	43.61	74.9	69.84	22.41	62.59	45.96	19.2	45.77	38.31	4.96	5.39	5.17	5.24	5.43	3.55	2.03	7.44
DonA_bin_76	34.27	81.34	83.31	77.11	83.67	25.13	61.16	97.22	97.46	97.22	92.66	33.13	5.43	19.3	22.75	14.64	8.43	7.72	48.96	6.07	24.13	2.99	10.23	12.3	30.68	3.89	9.42	8.62	7.79	6.73	67.28	70.2	53.54	7.08	40.13	40.85	17.49	39.7	12.23	2.45	4.92	1.89	3.13	1.42	1.04	1.43	1.26
DonA_bin_83	43.5	8.09	11.02	9.59	12.63	47.89	10.28	84.04	67.01	63.86	63.32	11.71	13.25	20.73	7.24	16.66	9.93	15.27	25.79	49.29	37.96	8.82	28.53	20.22	10.34	27.48	61.38	66.42	20.05	35.05	32.95	5.17	68.71	25.49	25.32	13.47	29.19	22.08	14.69	5.1	4.86	2.75	6.68	1.32	3.47	8.14	1.75
DonA_bin_86	47.36	13.19	11.98	14.59	17.94	13.11	6.32	21.71	8.05	11.83	5.09	63.77	23.53	80.54	30.93	14.6	8.8	3	6.29	12.46	18.91	3.7	39.55	49.9	50.04	75.7	36.25	7.74	18.86	4.02	21.64	43.81	11.03	14.19	16.42	17.32	1.16	22.86	17.63	2.65	2.05	0.96	1.59	4.27	0.76	0.72	2.49
DonA_bin_9	98.62	65.6	70.15	41.48	54.75	74.09	33.66	83.01	55.11	77.85	73.51	40.03	22.21	46.51	76.49	50.08	54.58	66.37	56.46	62.5	29.46	2.57	27.94	50.13	45.11	25.68	38.58	36.66	91.62	73.71	76.92	80.52	76.41	15.13	57.87	81.32	26.27	90.25	56.5	2.47	2.08	1.23	1.71	1.87	1.34	1.63	1.69
DonA_bin_90	50.97	4.68	4.01	2.38	6.07	3.3	2.64	13.29	11.91	7.09	10.06	40.18	9.89	11.89	9.32	3.58	2.68	2.44	2.98	3.39	12.23	0.42	3.17	7.17	7.16	5.91	3.09	3.33	7.68	3.42	33.46	34.18	14.05	2.55	4.03	8.27	2.5	15.65	8.68	0.29	0.3	0.21	0.26	0.46	0.17	0.17	0.51
DonA_bin_92	73.81	92.98	90.23	80.47	80.85	90.32	86.68	51.31	50.75	58.6	67.57	22.37	47.78	58.88	14.06	70.62	86.5	86.03	92.59	65.3	22.13	0.08	62.22	33.98	36.8	67.34	86.9	75.62	25.58	32.65	79.61	64.46	89.39	24.88	15.99	34.14	29.79	12.55	28.78	0.18	0.17	0.03	0.01	0.06	0.04	0.06	0.05
DonA_bin_93	20.13	89.63	90.46	93.2	97.05	54.72	89.6	59.67	81.01	75.13	61.81	45.59	69.75	36.53	57.64	84.61	90.91	93.94	92.58	85.41	86.32	16.18	2.05	3.79	9.9	8.03	37.43	73.86	7.86	8.62	46.73	67.89	38.06	5.12	63.75	56.29	18.32	24.76	46.07	19.74	20.35	18.34	25.16	22.25	20.74	14.98	22.69
DonA_bin_96	78.02	63.72	80.18	84.49	58.27	98.76	93.72	98.73	92.73	98.17	98.12	78.78	23.69	95.11	95.94	98.13	97.89	95.85	98.98	85.05	88.87	0.31	98.1	96.05	89.55	82.29	97.67	99.63	93.25	59.74	65.55	59.86	96.69	16	56.75	35.11	2.4	63.29	82.24	0.49	0.19	0.16	0.16	0.17	0.19	0.22	0.18
DonA_bin_97	23.98	5.75	4.5	2.21	6.79	4.4	12.85	41.15	27.82	41.24	47.95	16.79	19.78	15.8	11.57	9.08	7.1	10.53	19.65	8.4	27.26	0.19	7.15	6.4	8.26	2.29	6.87	5.4	10.34	11.46	19.6	19.71	26.13	10.72	14.14	14.77	9.46	16.05	12.86	0.12	0.23	0.09	0.14	0.12	0.05	0.09	0.14
DonA_bin_98	16.81	2.47	3.32	1.84	2.14	3.8	3.68	6.96	7.8	7.63	4.73	25.81	45.78	15.11	23.43	6.47	7.36	4.55	3.22	1.46	12.48	0.4	12.22	38.27	40.17	22.74	31.4	9.92	19.68	10.71	30.44	8.24	38.39	1.23	26.71	45.49	1.15	54.17	30.82	0.12	0.25	0.11	0.16	0.18	0.16	0.19	0.16
DonB_bin_100	0.88	43.76	46.53	51.62	34.58	22.81	55.18	15.08	38.83	31.28	33.75	10.56	34.14	5.69	34.58	33.21	41.55	55.61	31.72	39	41.43	85.91	58.28	52.16	45.1	15.36	38.94	49.94	49.31	41.09	0.69	0.96	0.91	43.06	50.02	42.21	41.04	18.33	34.88	67.56	63.79	81.35	77.14	83.42	88.38	71.44	87.67
DonB_bin_103	51.32	47.21	20	25.74	80.33	90.3	31.16	80.7	90.09	60.9	68.09	99.67	95.14	90.4	88.07	53.06	20.56	94.35	34.49	59.55	89.04	99.71	93.77	85.04	57.62	99.57	13.96	32.03	46.73	99.07	56.25	44.01	15.2	42.15	58.87	96.81	91.83	68.22	84.05	98.45	99.49	92.53	97.85	97.49	95.69	89.55	97.43
DonB_bin_104	16.05	16.43	10.85	11.73	9.04	18.39	8.89	39.71	19.03	43.33	55	70.54	38.59	32.04	31.44	24.74	12.72	19.23	20.28	23.97	74.52	31.4	39.9	45.3	32.88	34.29	11.26	4.83	40.79	58.78	21.12	34.26	19.13	8.59	36.59	32.42	11.25	27.3	25.13	27.68	27.07	28.89	30.71	29.39	20.32	13.11	38.68
DonB_bin_105	0.22	41.9	73.16	84.16	79.34	31.65	59.79	12.98	17.44	60.41	20.04	6.49	69.02	31.71	56.86	74.86	75.98	93.55	14.76	28.98	45.44	21.66	15.75	35.65	0.41	22.56	31.68	0.34	1.47	25.51	0.33	0.24	0.08	56.83	47.06	63.89	55.85	6.57	14.68	11.75	48.92	11.77	39.67	23.36	30.65	5.08	25.21
DonB_bin_107	17.31	50.78	49.19	25.13	50.7	2.94	33.36	3.66	7.14	6.34	5.11	4.32	17.52	14.41	54.78	42.56	8.04	5.18	1.96	6.21	3.68	55.44	53.82	69.54	53.21	55.89	14.57	11.08	31.88	11.15	1.06	3.62	0.44	2.18	5.77	4.42	0.65	2.79	26.73	43.47	62.14	40.69	18.43	61.46	9.86	15.15	54.75
DonB_bin_108	1.4	6.85	8.82	3.58	44.25	2.76	10.11	31.13	26.15	20.46	23.84	45.86	12.08	49.09	17.36	12.09	5.93	2.11	8.8	11.4	10.07	54.6	6.71	45.16	17.04	13.44	18.31	19.57	5.89	13.96	0.9	1.54	0.52	6.58	5.46	10.97	8.1	24.39	17.74	26.67	20.71	11.94	36.12	44.54	20.83	19.45	67.73
DonB_bin_11	0.5	34.36	40.9	19.12	19.16	1.63	38.25	3.68	5.53	2.18	2.18	18.59	27.84	4.05	8.11	13.95	14.37	9.51	16.61	23.27	1.92	15.78	43.07	57.22	46	28.39	2.47	23.25	3.13	14.13	0.31	0.43	0.28	7.5	23.42	19.63	13.73	20.04	13.15	31.09	24.31	31.92	26.32	34.14	30.26	26.86	35.65
DonB_bin_110	0.66	89.27	94.03	90.65	87.93	18.86	1.6	0.59	0.72	0.69	0.7	17.92	36.26	30.7	33.29	77.93	86.49	65.3	50.79	66.55	13.54	70.85	76.8	46.21	69.33	86.35	8.55	22.6	20.47	15.27	1.09	1.5	1.12	57.86	16.11	13.56	67.77	2.13	23	82.45	91.67	92.83	92.6	96.22	89.2	71.12	92.89
DonB_bin_113	34.05	62.16	49.65	46.92	65.87	52.08	61.3	28.67	24.43	42.25	23.9	95.61	53.23	35.69	90.59	97.08	97.15	86.8	56.39	95.95	86.05	96.42	99.57	98.95	91.8	84.09	99.36	98.23	80.92	79.94	53.37	43.48	22.83	48.83	73.83	39.2	91.41	28.72	53.74	97.9	98.69	95.61	92.91	70.54	86.19	94.99	82.07
DonB_bin_114	1.81	7.34	19.74	10.92	18.43	0.79	6.04	10.51	5.15	10.16	15.92	42.73	25.62	16.6	17.7	43.18	6.25	5.77	6.33	9.44	21.81	79.26	11.23	35.15	45.64	32.83	10.27	18.7	61.39	10.17	1.15	1.89	1.35	1.79	2.74	6.29	2.65	12.16	24.55	58.8	92.27	54.66	58.1	88.86	43.69	54.58	80.93
DonB_bin_116	1.19	1.31	1.52	0.75	2.25	0.86	2.74	7.25	5.17	5.42	6.89	4.35	4.06	2.34	2.29	2.22	2.05	2.68	5.38	3.66	6.25	26.55	2.3	3.86	3.49	0.73	1.79	1.23	3.29	5.35	0.88	0.84	0.93	6.06	5.62	6.77	5.07	7.38	7.83	16.78	44.23	24.43	32.64	16.42	17.34	16.58	12.56
DonB_bin_117	1.95	99.47	99.83	99.9	98.52	36.38	96.8	86.9	99.33	94.65	97.55	43.86	88.82	23.31	97.36	99.82	99.87	98.24	93.74	98.34	94.39	95.66	99.77	99.89	98.89	88.11	28.29	77.93	99.83	99.86	0.83	0.84	0.86	99.64	99.76	99.17	98.98	99.39	99.33	97.21	62.91	91.96	95.67	97.31	98.95	99.63	99.14
DonB_bin_118	3.5	4.38	4.7	3.39	5.36	2.68	39.89	7.95	7.87	7.07	5.81	16.11	94.6	89.33	94.35	90.44	74.14	87.35	72.96	77.76	96.89	83.42	72.08	50.41	3.9	23.14	98.99	98.62	91.43	92.61	4.22	3.95	2.82	90.87	54.06	83.33	43.09	94.44	93.06	75.55	98.31	68.32	90.15	48.32	39.2	45.27	34.71
DonB_bin_119	13.56	46.81	36.51	8.81	13.09	66.55	58.79	14.1	6.74	23.97	21.25	93.5	55.64	41.08	76.28	19.23	10.9	82.42	86.63	97.42	98.47	99.07	92.61	98.48	34	54.28	92.17	90.91	99.19	99.61	1.13	7.64	2.94	21.8	36.5	10.9	10.28	77.12	62.48	88.96	86.94	58.11	87.16	94.16	75.97	97.37	65.79
DonB_bin_125	1.83	20.97	16.8	6.35	2.7	3.47	0.95	3.02	1.82	2.14	3.87	7.19	10	10.09	10.38	18.73	7.22	1.47	1.65	22.95	3.41	99.05	5.59	24.12	2.43	2.91	1.65	1.67	8.93	4.36	1.31	1.53	0.65	5.95	1.93	2	3.04	3.81	36.26	87.93	98.38	66.23	94.11	78.69	89.15	83.29	93.19
DonB_bin_126	5.61	33.47	29.49	12.81	21.42	2.12	11.87	29.75	12.96	11.34	16.73	34.7	10.87	6.11	10.69	13.25	12.97	10.76	5.12	10.15	13.2	78.75	6.34	39.13	25.65	12.57	2.48	26.27	44.25	14.42	5.94	5.91	3.49	17.31	7.89	6.28	20.12	19.47	67.82	74.23	70.98	77.77	66.97	75.85	62.01	40.73	73.96
DonB_bin_127	3.69	17.24	17.85	20.21	24.94	7.32	17.89	8.31	14.12	12.21	9.04	11.31	16.91	6.26	7.75	17.46	31.63	55.96	22.69	31.94	25.07	90.75	16.88	33.75	70.54	61.85	94.16	33.84	65.83	69.33	6.61	13.27	4.93	4.98	11.23	21.4	20.13	10.31	10.26	94.9	94.78	91.44	96.84	94.56	94.15	83.52	94.99
DonB_bin_129	43.79	9.64	9.84	3.74	7.67	0.74	4.75	9.2	10.77	10.31	12.98	25.9	23.98	19.29	24.71	19.93	9	5.94	9.34	11.59	34.33	59.76	16.14	26.85	13.01	9.74	5.26	6.84	30.87	15.78	33.54	35.61	26.71	6.07	14.58	26.12	10.21	32.91	34.45	69.5	75.94	49.37	25.72	70.79	52.2	40.91	59.63
DonB_bin_130	6.7	13.5	14.74	6.73	13.02	10.55	5.99	3.01	5.98	5.76	11.23	9.64	47.73	18.31	16.71	34.4	24.33	10.15	8.48	16.22	12.71	73.16	75.54	57.27	40.31	62.69	57.35	20.96	11.18	23.09	14.52	13.24	11.94	16.93	31.61	26.89	24.25	11.49	3.37	55.72	39.64	49.12	50.65	33.22	20.15	18.69	41.5
DonB_bin_132	1.32	0.8	0.68	0.47	0.75	0.35	0.38	1.23	0.92	1.02	0.9	1.67	1.39	1.22	1.25	0.8	0.72	0.54	0.51	0.58	1.04	38.28	22.69	31.23	1.19	1	0.78	0.56	1.02	0.6	1	1.36	0.64	0.32	0.72	0.94	0.36	1.09	0.92	27.61	30.32	15.99	20.37	66.62	23.12	2.81	44.86
DonB_bin_133	0.14	0.07	0.06	0.04	0.05	0.05	0.03	0.06	0.13	0.1	0.07	11.16	2.44	0.08	0.06	0.13	0.03	0.06	0.05	0.44	0.16	42.79	0.82	7.75	0.14	0.19	0.66	4.9	17.46	23.38	0.03	0.08	0.1	0.06	0.1	1.13	7.88	2.16	0.2	3.3	10.11	0.37	9.12	74.34	6.39	28.55	69.17
DonB_bin_136	6.43	0.91	1.45	0.54	0.81	0.34	0.37	1.21	2.69	1.96	4.55	6.79	7.49	13.63	7.02	3.17	2.4	0.51	0.51	0.78	4.98	20.59	1.52	5.9	2.53	1.49	1.19	2.63	5.94	0.96	7.9	8.44	3.61	0.68	2.7	4.09	1.09	16.31	10.57	18.06	11.3	9.51	5.53	54.9	9.41	10.32	37.57
DonB_bin_138	6.31	7.38	10.43	15.27	10.61	46.87	11.05	53.74	27.13	41.47	63.62	18.58	25.95	48.26	26.81	11.97	10.89	9.77	17.89	32.53	29.6	31.3	18.72	15.63	10.27	15.89	71.6	52.41	41.52	38.55	7.87	4.91	6.43	16.28	32.73	22.83	18.01	14.81	13.75	15.38	34.91	8.62	3.62	8.26	18.74	14.19	7.92
DonB_bin_14	31.51	14.21	18.5	9.34	16.95	3.24	20.26	20.66	34.28	35.56	20.08	77.45	83.66	72.73	80.21	63.32	62.68	47.55	38.37	59.18	77.63	55.48	13.15	38.71	65.81	43.72	53.3	46.86	76.59	73.25	16.72	30.67	30.31	27.63	50.88	86.16	57.31	87.73	79.55	61.39	68.16	50.58	34.44	60.34	40.75	37.07	46.56
DonB_bin_17	0.44	0.86	0.99	1.03	1.19	0.49	0.41	0.94	1.14	0.88	0.59	5.15	1.79	1.73	2.48	0.63	1.07	0.24	0.37	0.31	0.82	26.99	1.8	3.28	4.23	3.35	0.46	0.58	0.64	0.59	0.13	1.29	0.16	0.97	0.48	0.94	0.64	0.65	0.69	12.13	23.01	5.4	14.81	6.68	6.19	1.83	15.97
DonB_bin_19	1.13	0.48	0.57	0.26	0.59	0.35	0.36	0.93	0.87	0.94	0.72	1.38	0.89	0.84	0.99	0.52	0.38	0.37	0.28	0.46	0.83	1.86	2.59	5.3	1.95	0.85	0.53	0.37	0.58	0.47	0.73	1.35	0.6	0.29	0.55	0.77	0.23	1.12	0.56	75.06	3.19	0.68	75.28	0.93	0.43	0.42	0.8
DonB_bin_2	3.28	7.15	6.23	5.53	6.44	5.45	9.82	2.74	4.17	3.13	4.11	14.62	59.92	61.49	54.26	50.83	69.78	86.13	82.52	69.22	51.48	45.51	36.37	25.34	70.52	89.75	58.72	68.03	56.68	25.95	4.57	5.13	5.57	4.51	10.23	16.92	33.5	3.48	4.71	68.2	58.22	88.24	76.6	71.01	77.05	36.89	64.77
DonB_bin_23	0.82	5.21	3.28	0.94	6.69	7.39	0.89	1.87	1.45	2.34	1.92	6.9	5.74	2.25	11.1	4.72	4.51	0.77	1.11	3.45	3.17	40.87	2.2	6.85	42.3	20.53	2.95	1.97	3.76	6.24	0.51	0.87	0.41	0.85	1.69	4.72	1.47	4.31	18.21	26.56	26.46	5.12	13.58	10.91	4.97	5.3	13.14
DonB_bin_25	1.48	4.11	0.9	0.84	4.78	1.36	0.54	1.42	1.29	1.5	1.09	2.57	1.58	1.1	1.57	0.82	0.65	0.75	0.61	0.83	1.09	29.45	12.91	47.63	80.86	58.72	1.01	0.77	2.2	0.98	1.08	1.49	1.06	0.47	1.13	1.94	0.46	6.3	1.3	30.11	23.37	10.5	46.49	14.57	6.01	5.66	8.05
DonB_bin_27	0.4	1.05	1.87	1.6	1.63	0.77	1.24	0.62	0.79	1.35	0.74	3.91	1.43	1.65	3.87	1.81	1.33	2.06	0.41	1.17	1.63	28.07	0.8	2.14	6.48	4.69	1.41	0.52	1.67	1.71	0.47	0.77	0.43	0.99	1.59	1.8	0.95	2.56	0.84	10.24	42.66	0.97	36.54	17.87	4.4	4.4	25.86
DonB_bin_29	0.54	1.96	2.17	1.18	1.31	1.04	1.44	1.07	1.66	1.31	1.17	2.42	2.82	2.31	2.8	2.35	1.94	1.56	1.96	1.95	2.28	6.09	3.1	4.09	4.16	2.83	2.26	1.52	2.89	1.72	0.62	0.94	0.35	1.97	2.23	2.51	1.75	2.14	2.42	12.37	35.05	13.28	17.97	19.33	5.88	6.97	19.29
DonB_bin_31	14.5	1.92	2.16	4.26	4.08	32.36	5.64	39.89	21.13	20.11	24.32	9.67	10.31	16.44	5.53	20.51	12.99	13.68	18.23	21.03	13.91	62.73	19.12	20.91	12.06	22.56	46.74	54.34	16.81	23.06	6.61	1.95	8.12	11.74	9.88	5.8	4.81	8.49	7.1	12.88	10.5	15.28	13.78	4.18	16.97	21.57	6.23
DonB_bin_33	17.68	11.04	13.89	12.62	14.8	95.98	82	92.52	87.49	89.69	89.87	65.62	72.45	82.8	62.66	86.32	73.96	77.02	79.89	84.12	79.06	76.44	75.49	66.69	53.8	81.28	94.69	95.24	78.72	88.95	13.84	8.02	20.54	55.32	74.05	70.62	47.99	81.86	59.79	45.26	55.27	56.54	63.15	23.79	57.73	54.49	23.6
DonB_bin_34	0.31	41.26	38.4	17.3	39.87	49.38	60.87	35.35	44.26	65.46	50.3	35.67	57.3	59.85	34.06	19.99	15.35	60.75	78.79	56.28	42.39	7.45	13.65	4.17	15.38	16.61	88.18	65.03	13.92	31.64	0.32	0.51	0.2	22.14	45.18	30.88	25.02	42.08	14.81	27.86	53.83	23.82	12.9	7.1	2.94	2.03	2.3
DonB_bin_35	1.16	39.4	37.36	29.1	28.67	17.75	17.92	16.52	13.36	11.98	15.75	18.25	22.91	34.55	27.06	33.18	28.22	5.66	14.9	26.83	22.83	42.57	28.84	24.05	19.26	19.91	37.53	30.7	14.96	15.33	0.6	0.6	0.23	9.9	10.68	9.75	12.19	6.11	23.13	8.72	25.56	11.37	24.61	9.17	33.26	39.31	26.56
DonB_bin_37	31.65	21.19	27.49	14.73	19.37	16.11	10.77	28.81	25.82	24.65	29.02	36.13	33.01	50.73	33.08	23.69	28.53	13.4	23.13	21.08	21.51	64.82	24.22	34.06	32.19	27.93	36.39	25.96	22.91	16.87	31.49	24.92	23.47	9.02	9.79	17.4	12.17	33.37	20.9	62.28	35.21	48.51	46.39	70.73	52.01	36.06	74.81
DonB_bin_38	12.35	12.53	7.02	9.4	15.51	17.55	2.77	14.76	15.63	15.94	15.68	92.27	59.59	81.29	87.33	34.67	50.08	14.58	16.68	72.4	62.77	89.55	79.46	83.76	70.97	96.99	62	61.56	83.97	64.74	9.13	5.89	3.72	2.78	3.72	5.53	2.63	38.56	48.82	62.28	87.42	50.95	42.81	37.19	36.85	29.14	63.53
