FIELD_LABELS	A	AB	AB-2	AB-3	AB-4	AB-5	AB-6	AB-7	AB-8	AB-9	AB0	ABAB	ABAB-2	ABAB-3	ABAB-4	ABAB-5	ABAB-6	ABAB-7	ABAB-8	ABAB-9	ABAB0	B	BA	BA-2	BA-3	BA-4	BA-5	BA-6	BA-7	BA-8	PA	PA-2	PA-3	PAB	PAB-2	PAB-3	PAB-4	PAB-5	PAB-6	PB	PB-2	PB-3	PB-4	PB-5	PB-6	PB-7	PB-8
FIELD_TREE	((B:142.3955784,(PB-2:139.5193445,((PB-5:76.02154579,PB-8:76.02154579):50.6651109,((PB:83.57877033,PB-4:83.57877033):33.33712408,(PB-3:102.1277802,(PB-6:71.86144846,PB-7:71.86144846):30.26633171):14.78811424):9.770762289):12.83268783):2.876233903):160.108013,((PA-2:127.7617125,(A:118.1359852,(PA:97.87470741,PA-3:97.87470741):20.26127781):9.625727274):86.96870461,(((BA-7:127.2221097,BA-8:127.2221097):37.35176258,((BA:105.4371149,BA-2:105.4371149):44.59537833,(BA-3:115.5984187,BA-4:115.5984187):34.43407456):14.54137905):27.47329182,(((AB-5:159.628519,(AB-8:96.92471331,(AB-9:81.50281184,(AB-7:79.30488005,AB0:79.30488005):2.197931791):15.42190146):62.70380568):15.79913428,(((PAB-5:109.3299731,PAB-6:109.3299731):41.96741026,((PAB-2:82.0926705,PAB-3:82.0926705):53.38262317,(PAB:105.7644425,PAB-4:105.7644425):29.71085116):15.82208973):15.4192982,(((ABAB-7:111.6617077,ABAB-8:111.6617077):16.29105802,(ABAB-9:114.002161,(ABAB-5:87.35916237,ABAB-6:87.35916237):26.64299863):13.95060475):28.62179485,(AB-6:128.36994,(AB-4:107.5344726,(AB-3:102.300002,(AB:76.06679417,AB-2:76.06679417):26.23320781):5.234470609):20.83546744):28.20462057):10.14212099):8.710971663):10.05434819,((BA-5:99.4395892,BA-6:99.4395892):82.71825963,((ABAB-3:129.8309142,(ABAB-2:110.0470767,ABAB-4:110.0470767):19.78383741):28.43180625,(ABAB:145.1259023,ABAB0:145.1259023):13.13681808):23.89512842):3.324152614):6.565162668):22.68325299):87.77317435);
DATA
DonA_bin_119	64.96	21.31	31.1	20.16	21.03	47.7	41.85	31.62	18.93	30.49	20.03	27.47	34.54	40.22	20.33	23.54	15.92	37.04	27.33	24.29	25.77	25.73	30.53	20.59	27.78	48.83	74.09	60.98	38.14	50.67	42.53	16.02	71.93	62.28	78.12	49.09	41.6	48.78	27.43	27.58	12.03	23.8	12.08	26.91	21.57	7.27	9.72
DonA_bin_12	99.55	99.84	99.87	99.93	99.5	95.18	99.89	99.26	99.9	95.94	98.92	77.04	98.39	31.49	38.55	99.79	99.84	99.96	99.93	98.47	99.18	0.98	99.96	99.9	99.91	99.87	85.43	96.62	99.96	99.92	99.92	99.77	99.98	83.43	99.73	96.95	77.62	89.47	99.34	1.65	1.24	0.26	0.25	0.66	0.43	0.73	0.6
DonA_bin_121	43.87	35.41	45.35	29.93	18.32	15.14	10	22.25	27.99	51.64	13.79	23.98	44.21	79.28	55.39	22.31	21.32	8.43	7.3	11.06	22.81	4.61	22.78	23.6	21.08	48.12	29.23	7.89	7.14	5.66	7.93	65.62	4.72	6.05	11.38	12.59	1.22	7.2	14.83	4.56	2.81	2.15	3.43	8.39	3.8	1.84	5.97
DonA_bin_123	78.84	99.06	97.3	84.41	88.41	95.03	77.22	99.38	98.88	97.79	98.69	88.78	97.21	97.84	98.08	98.61	95.32	48	93.82	95.71	81.42	3.21	88.46	92.95	65.2	54.87	84.86	95.49	98.03	49.32	98.12	99.39	86.92	48.75	57.6	40.44	32.73	88.34	84.42	3.17	3.35	1.82	2.21	3.25	1.97	1.74	3.24
DonA_bin_124	85.51	61.61	68.65	64.88	70.23	45.34	21.71	37.18	28.9	29.8	30.2	16.23	18.33	23.81	13.52	23.1	17.43	19.2	22.53	24.27	21.02	23.98	18.33	14.5	10.44	20.21	37.64	37.04	18.26	25.25	71.81	65.91	77.98	13.53	20.9	15.64	10.9	20.77	13.27	11.86	15.58	9.63	20.97	4.5	14.23	20.29	5.13
DonA_bin_125	18.46	10.21	6.66	3.28	4.75	0.47	1.42	7.91	1.08	8.51	12.58	10.55	8.01	2.23	7.33	5.6	5.88	0.96	5.59	3.14	4.39	0.57	11.94	25.73	11.83	3.94	1.75	3.98	8.14	1.25	31.34	62.14	49.77	7.49	9.74	20.29	1.21	33.35	19.62	0.5	0.52	0.24	0.37	0.58	0.27	0.2	0.51
DonA_bin_126	93.39	80.93	64.57	34.19	47.88	49.65	45.65	93.12	91.09	88.81	93.12	90.08	9.47	81.65	89.53	53.74	71.29	4.45	26.34	41.96	21.27	0.88	43.72	39.07	17.86	5.51	3.45	14.81	58.96	5.4	15.47	16.62	3.7	1.76	4.54	7.81	2.43	10.05	11.24	0.63	0.99	0.47	0.66	0.82	0.65	0.44	0.87
DonA_bin_127	71.34	36.91	48.01	24.73	40.97	9.53	50.59	52.58	76.56	78.96	51.74	46.5	55.31	38.13	43.82	28.9	29.87	31.35	30.43	37.48	52.46	20.64	4.76	19.45	26.59	16.13	20.52	16.12	33.27	38.05	42.1	72.5	71.67	16.67	34.5	62.59	23.75	60.98	48.8	23.17	26.86	18.47	11.84	23.08	14.14	12.37	16.81
DonA_bin_130	14.29	24.17	18.99	9.35	20.47	0.79	12.38	49.55	47.22	49.51	55.4	39.33	53.72	28.91	33.01	19.02	10.25	12.24	9.93	10.03	24.98	0.37	27.09	45.31	17.97	17.16	13.54	13.01	18.53	24.17	25.9	38	31.98	12.78	17.58	33.97	11.66	22.8	28.22	0.25	0.21	0.14	0.16	0.32	0.12	0.08	0.26
DonA_bin_132	49.72	49.86	73.73	38.33	58	96.95	73.32	55.33	53.41	51.72	43.51	61.5	85.8	84.42	76.48	51.27	48.98	64.4	65.61	51.62	44.25	1.58	48.17	21.11	55.09	68.7	62.31	53.23	27.34	42.12	51.35	52.64	11.01	64.31	56.54	71.49	49.26	53.49	40.39	1.21	1.06	0.73	0.92	1.32	0.61	0.3	0.94
