Sample	feature	coverage
A1E02M01	DonB_bin_120	24.59
A1E02M01	DonB_bin_121	12.44
A1E02M01	DonB_bin_122	99.61
A1E02M01	DonB_bin_123	9.55
A1E02M01	DonB_bin_124	5.04
A1E02M01	DonB_bin_125	20.97
A1E02M01	DonB_bin_126	33.47
A1E02M01	DonB_bin_127	17.24
A1E02M01	DonB_bin_128	7.79
A1E02M01	DonB_bin_129	9.64
A1E02M01	DonB_bin_13	8.04
A1E02M01	DonB_bin_130	13.5
A1E02M01	DonB_bin_131	99.82
A1E02M01	DonB_bin_132	0.8
A1E02M01	DonB_bin_133	0.07
A1E02M01	DonB_bin_134	29.61
A1E02M01	DonB_bin_135	4.36
A1E02M01	DonB_bin_136	0.91
A1E02M01	DonB_bin_137	11.71
A1E02M01	DonB_bin_138	7.38
A1E02M01	DonB_bin_139	79.98
A1E02M01	DonB_bin_14	14.21
A1E02M01	DonB_bin_140	20.31
A1E02M01	DonB_bin_141	66.21
A1E02M01	DonB_bin_142	0.73
A1E02M01	DonB_bin_15	32.08
A1E02M01	DonB_bin_16	13.15
A1E02M01	DonB_bin_17	0.86
A1E02M01	DonB_bin_18	0.79
A1E02M01	DonB_bin_19	0.48
A1E02M01	DonB_bin_2	7.15
A1E02M01	DonB_bin_20	5.45
A1E02M01	DonB_bin_21	36.87
A1E02M01	DonB_bin_22	2.68
A1E02M01	DonB_bin_23	5.21
A1E02M01	DonB_bin_24	4.22
A1E02M01	DonB_bin_25	4.11
A1E02M01	DonB_bin_26	9.52
A1E02M01	DonB_bin_27	1.05
A1E02M01	DonB_bin_28	6.48
A1E02M01	DonB_bin_29	1.96
A1E02M01	DonB_bin_3	6.76
A1E02M01	DonB_bin_30	3.5
A1E02M01	DonB_bin_31	1.92
A1E02M01	DonB_bin_32	3.59
A1E02M01	DonB_bin_33	11.04
A1E02M01	DonB_bin_34	41.26
A1E02M01	DonB_bin_35	39.4
A1E02M01	DonB_bin_36	39.11
A1E02M01	DonB_bin_37	21.19
A1E02M01	DonB_bin_38	12.53
A1E02M01	DonB_bin_39	8.23
A1E02M01	DonB_bin_4	98.59
A1E02M01	DonB_bin_40	4.58
A1E02M01	DonB_bin_41	98.83
A1E02M01	DonB_bin_42	10.79
A1E02M01	DonB_bin_43	3.18
A1E02M01	DonB_bin_44	10.13
A1E02M01	DonB_bin_45	11.22
A1E02M01	DonB_bin_46	65.61
A1E02M01	DonB_bin_47	7.19
A1E02M01	DonB_bin_48	29.73
A1E02M01	DonB_bin_49	32.81
A1E02M01	DonB_bin_5	2.49
A1E02M01	DonB_bin_50	5.69
A1E02M01	DonB_bin_51	3.52
A1E02M01	DonB_bin_52	82.03
A1E02M01	DonB_bin_53	1.03
A1E02M01	DonB_bin_54	9.57
A1E02M01	DonB_bin_55	1.68
A1E02M01	DonB_bin_56	75.32
A1E02M01	DonB_bin_57	6.57
A1E02M01	DonB_bin_58	0.03
A1E02M01	DonB_bin_59	99.93
A1E02M01	DonB_bin_6	1.39
A1E02M01	DonB_bin_60	63.25
A1E02M01	DonB_bin_61	11.57
A1E02M01	DonB_bin_62	99.13
A1E02M01	DonB_bin_63	0.42
A1E02M01	DonB_bin_64	5.59
A1E02M01	DonB_bin_65	20.34
A1E02M01	DonB_bin_66	1.35
A1E02M01	DonB_bin_67	24.09
A1E02M01	DonB_bin_68	3.14
A1E02M01	DonB_bin_69	6.92
A1E02M01	DonB_bin_7	6.74
A1E02M01	DonB_bin_70	8.81
A1E02M01	DonB_bin_71	0.26
A1E02M01	DonB_bin_72	9.09
A1E02M01	DonB_bin_73	2.75
A1E02M01	DonB_bin_74	29.22
A1E02M01	DonB_bin_75	3.11
A1E02M01	DonB_bin_76	19.93
A1E02M01	DonB_bin_77	4.65
A1E02M01	DonB_bin_78	23.38
A1E02M01	DonB_bin_79	0.23
A1E02M01	DonB_bin_8	9.76
A1E02M01	DonB_bin_80	89.53
A1E02M01	DonB_bin_81	13.99
A1E02M01	DonB_bin_82	21.3
A1E02M01	DonB_bin_83	1.57
A1E02M01	DonB_bin_84	5.81
A1E02M01	DonB_bin_85	7.26
A1E02M01	DonB_bin_86	77.47
A1E02M01	DonB_bin_87	4.09
A1E02M01	DonB_bin_88	0.8
A1E02M01	DonB_bin_89	9.79
A1E02M01	DonB_bin_9	4.05
A1E02M01	DonB_bin_90	13.76
A1E02M01	DonB_bin_91	10.12
A1E02M01	DonB_bin_92	93.01
A1E02M01	DonB_bin_93	10.99
A1E02M01	DonB_bin_94	82.45
A1E02M01	DonB_bin_95	2.26
A1E02M01	DonB_bin_96	5.62
A1E02M01	DonB_bin_97	1
A1E02M01	DonB_bin_98	84.14
A1E02M01	DonB_bin_99	10.04
A1E02M02	DonA_UnBin	26.35
A1E02M02	DonA_bin_1	41.05
A1E02M02	DonA_bin_10	4.59
A1E02M02	DonA_bin_100	41.8
A1E02M02	DonA_bin_101	45.22
A1E02M02	DonA_bin_102	78.56
A1E02M02	DonA_bin_103	86.8
A1E02M02	DonA_bin_104	49
A1E02M02	DonA_bin_105	15.17
A1E02M02	DonA_bin_106	49.7
A1E02M02	DonA_bin_107	9.39
A1E02M02	DonA_bin_108	23.64
A1E02M02	DonA_bin_109	98.59
A1E02M02	DonA_bin_11	51.25
A1E02M02	DonA_bin_110	17.43
A1E02M02	DonA_bin_111	92.59
A1E02M02	DonA_bin_112	40.55
A1E02M02	DonA_bin_113	64.5
A1E02M02	DonA_bin_114	84.1
A1E02M02	DonA_bin_115	5.03
A1E02M02	DonA_bin_116	4.17
A1E02M02	DonA_bin_117	11.26
A1E02M02	DonA_bin_118	26.9
A1E02M02	DonA_bin_119	31.1
A1E02M02	DonA_bin_12	99.87
A1E02M02	DonA_bin_120	50.01
A1E02M02	DonA_bin_121	45.35
A1E02M02	DonA_bin_122	58.84
A1E02M02	DonA_bin_123	97.3
A1E02M02	DonA_bin_124	68.65
A1E02M02	DonA_bin_125	6.66
A1E02M02	DonA_bin_126	64.57
A1E02M02	DonA_bin_127	48.01
A1E02M02	DonA_bin_128	10.54
A1E02M02	DonA_bin_129	33.31
A1E02M02	DonA_bin_13	25.67
A1E02M02	DonA_bin_130	18.99
A1E02M02	DonA_bin_131	26.12
A1E02M02	DonA_bin_132	73.73
A1E02M02	DonA_bin_133	43.05
A1E02M02	DonA_bin_14	64.19
A1E02M02	DonA_bin_15	72.18
A1E02M02	DonA_bin_16	99.7
A1E02M02	DonA_bin_17	27.93
A1E02M02	DonA_bin_18	58.32
A1E02M02	DonA_bin_19	38.09
A1E02M02	DonA_bin_2	80.23
A1E02M02	DonA_bin_20	8.02
A1E02M02	DonA_bin_21	9.25
A1E02M02	DonA_bin_22	28.93
A1E02M02	DonA_bin_23	46.49
A1E02M02	DonA_bin_24	44.44
A1E02M02	DonA_bin_25	54.65
A1E02M02	DonA_bin_26	20.81
A1E02M02	DonA_bin_27	72.69
A1E02M02	DonA_bin_28	91.45
A1E02M02	DonA_bin_29	35.5
A1E02M02	DonA_bin_3	90.5
A1E02M02	DonA_bin_30	99.77
A1E02M02	DonA_bin_31	50.24
A1E02M02	DonA_bin_32	14.78
A1E02M02	DonA_bin_33	50.71
